                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1495.4,                 3.3553,                   1206,                0.00561,                0.67879,                0.05498,                0.02056,                 1348.3,                 3.2824,                 1060.2,                 0.0739,                 0.0029,                 0.0029
                      1,                 1134.6,                 3.1315,                  938.2,                0.00619,                0.74848,                 0.1274,                0.05418,                 1341.3,                  3.253,                 1060.5,               0.046842,              0.0058416,              0.0058416
                      2,                 1096.7,                 3.0459,                 895.31,                0.00632,                0.76364,                0.10429,                0.04634,                 1346.1,                 3.2529,                 1057.5,               0.019724,              0.0087238,              0.0087238
                      3,                 1067.2,                  3.026,                 874.99,                0.00976,                0.57576,                0.10491,                0.03991,                 1265.3,                 3.3334,                 1126.2,               0.009703,               0.009703,               0.009703
                      4,                 1150.4,                 3.0397,                 928.63,                0.12445,                0.39091,                0.13629,                0.05766,                 1324.2,                  3.303,                 1088.2,               0.009703,               0.009703,               0.009703
                      5,                 1021.2,                 3.0161,                 846.12,                0.32883,                0.12121,                0.11068,                0.04632,                 1338.8,                 3.2816,                 1176.9,               0.009604,               0.009604,               0.009604
                      6,                 1015.7,                 3.0032,                  850.1,                0.12826,                0.08182,                0.04043,                0.01543,                 1366.1,                  3.556,                 1256.4,               0.009505,               0.009505,               0.009505
                      7,                 1140.4,                 2.9778,                 920.67,                0.28324,                0.07576,                0.09574,                0.04394,                 1386.8,                 3.3323,                 1216.4,               0.009406,               0.009406,               0.009406
                      8,                 1083.1,                 2.9835,                 864.07,                 0.3633,                0.09091,                0.14865,                0.06791,                 1219.3,                 3.1264,                   1034,               0.009307,               0.009307,               0.009307
                      9,                 1105.3,                 2.9196,                 884.17,                0.42611,                0.10909,                0.18318,                0.07667,                 1330.7,                  3.142,                   1101,               0.009208,               0.009208,               0.009208
                     10,                 1075.3,                 2.9109,                 872.87,                0.51626,                0.11212,                 0.1896,                0.08353,                 1274.1,                  3.218,                 1095.4,               0.009109,               0.009109,               0.009109
                     11,                 1031.2,                  2.846,                 837.96,                0.55013,                0.13939,                0.20571,                0.09974,                   1365,                 3.1498,                 1111.3,                0.00901,                0.00901,                0.00901
                     12,                 1038.9,                 2.8153,                 844.87,                0.54349,                0.14545,                0.21042,                0.10205,                 1384.7,                  3.142,                 1130.6,               0.008911,               0.008911,               0.008911
                     13,                 972.07,                 2.8183,                 808.09,                0.65654,                 0.1303,                0.19502,                0.09525,                 1257.5,                 3.1686,                   1095,               0.008812,               0.008812,               0.008812
                     14,                 966.24,                 2.7678,                 801.16,                0.53916,                0.26061,                0.32536,                0.17549,                 1117.7,                 2.8465,                 942.58,               0.008713,               0.008713,               0.008713
                     15,                 1045.5,                  2.745,                 851.62,                0.53926,                0.28485,                0.30959,                0.16229,                 1162.7,                 2.8879,                  966.3,               0.008614,               0.008614,               0.008614
                     16,                 1006.2,                 2.7234,                 821.65,                0.49296,                0.29756,                0.27918,                0.15272,                 1164.3,                 2.8711,                  987.5,               0.008515,               0.008515,               0.008515
